W_GH	W_CVARS	W_Field	Length	Width	Density
8.78	10.43	13.33	5.53	4.11	2.13
16.05	18.58	NaN	9.96	4.77	1.57
9.26	9.2	11.14	5.05	4.02	2.15
17.68	15.22	NaN	7.4	4	2.46
8.25	NaN	NaN	NaN	NaN	NaN
11.87	13.15	NaN	5.63	4.55	2.15
13.85	13.21	NaN	7.75	3.9	2.14
13.48	13.57	NaN	6.22	3.92	2.71
17.28	19.43	NaN	8.25	5.32	1.59
17.98	19.99	NaN	10.08	4.56	1.82
9.05	8.07	12.98	4.46	3.2	3.37
10.55	13.5	NaN	5.85	4.4	2.28
11.94	13.87	13.8	5.73	4.21	2.61
16.41	15.74	17.35	6.96	4.39	2.24
20.74	17.37	18.12	7.36	5.09	1.74
14.21	13.77	18.54	6.65	3.99	2.48
12.01	11.11	12.73	5.34	4.08	2.39
10.5	9.65	14.34	5.8	3.91	2.08
12.61	11.85	16.38	5.56	4.21	2.3
12.52	12.07	12.77	5.84	4.95	1.61
12	12.21	NaN	6.87	3.84	2.3
11.79	11.76	NaN	6.76	3.69	2.44
17.77	16.64	NaN	7.42	5.11	1.64
12.96	13.12	NaN	6.81	4.11	2.18
12.98	12.15	13.19	5.55	3.8	2.9
13.71	13.13	15.41	6.53	4.41	1.97
16.68	15.5	NaN	6.2	5.3	1.7
21.31	20.02	NaN	7.58	4.87	2.13
27.58	23.93	NaN	8.4	6.22	1.41
25.34	NaN	NaN	NaN	NaN	NaN
16.8	16.12	NaN	8.7	4.5	1.75
14.74	10.34	14.93	6.4	3.18	3.05
14.33	11.07	12.29	5.23	3.85	2.73
16.93	16.9	NaN	7.51	4.06	2.61
14.87	14.73	NaN	6.5	3.81	2.98
15.4	11.12	11.86	4.94	4.47	2.15
8.33	7.5	10.1	5.18	2.76	3.63
6.21	5.65	6.44	3.81	2.18	5.96
13	11.01	NaN	5.11	4.25	2.28
11.67	9.96	11.75	5.57	3.95	2.19
12.66	11.79	15.34	5.94	3.87	2.53
17.35	14.55	NaN	6.95	4.53	1.95
12.96	10.92	NaN	6.35	3.4	2.84
14.31	11.28	NaN	6.42	3.67	2.49
12.88	12.32	NaN	5.95	3.64	2.98
12.31	9.32	12.8	5.53	3.22	3.1
13.5	11.59	13.41	5.88	3.79	2.62
13.44	11.68	14.02	5.6	3.87	2.66
17.26	11.6	17.86	5.94	3.58	2.91
20.21	15.3	22.8	7.05	4.76	1.83
12.93	10.37	14.46	5.42	4.18	2.09
10.05	8.26	9.09	4.98	3.4	2.74
13.59	13.24	16.2	5.92	4.36	2.25
13.51	10.56	11.24	4.83	3.84	2.83
13.57	12.27	13.57	6.16	4.22	2.14
14.16	13.51	18.74	5.67	4.82	1.96
13.01	10.25	9.99	5.69	3.59	2.67
14.31	11.42	18.13	5.23	3.67	3.1
15.95	10.74	15.78	5.11	4.6	1.9
9.24	6.87	10.57	4.3	3.08	3.22
17.26	15.31	18.01	6.08	4.73	2.15
12.84	11.21	11.62	5.51	4.07	2.35
14.62	11.38	17.17	6.5	3.29	3.09
26.45	22.66	NaN	8.43	5.99	1.43
12.87	11.94	14.96	5.11	4.63	2.08
9.23	6.13	12.17	3.74	2.42	5.35
22.74	18.03	21.62	7	5.98	1.38
12.71	10.08	11.84	5.46	3.21	3.42
13.51	10.64	15.6	5.21	3.68	2.88
26.39	23.28	27.3	8.21	5.62	1.71
12.37	11.75	17.49	5.13	4.44	2.22
18.49	13.8	17.78	6.04	4.51	2.15
18.2	15.32	21.73	6.55	4.56	2.15
16.98	13.11	13.89	6.11	4.05	2.5
13.29	13.21	12.93	6.32	4.49	1.98
16.84	13.88	NaN	6.44	5.05	1.61
18.62	15.73	23.67	6.13	5.95	1.38
13.71	12.07	NaN	5.63	4.14	2.39
15.67	15.84	18.49	5.95	4.98	2.05
20.46	14.65	20.75	6.38	4.69	1.99
12.58	NaN	NaN	NaN	NaN	NaN
17.29	NaN	NaN	NaN	NaN	NaN
19.53	NaN	NaN	NaN	NaN	NaN
19.48	NaN	NaN	NaN	NaN	NaN
21.17	NaN	NaN	NaN	NaN	NaN
19.13	NaN	NaN	NaN	NaN	NaN
11.17	NaN	NaN	NaN	NaN	NaN
20.83	NaN	NaN	NaN	NaN	NaN
15.43	NaN	NaN	NaN	NaN	NaN
23.57	21.17	NaN	7.57	5.65	1.67
20.59	20.26	27.81	7.27	5.68	1.65
